model;brand;body_type;segment;usable_battery_kwh;real_range_km;efficiency_wh_km;zero_to_100_s;top_speed_kmh;towing_capacity_kg;price;charging_time_min;max_charging_power_kw;horsepower_hp;torque_nm;maintenance_cost_eur_year;seating_capacity;boot_capacity_l;adas_level;safety_rating_ncap;usage_type;energy_cost_eur_100km;insurance_rating;powertrain_type;fuel_type
Volkswagen G5;Volkswagen;Hatchback;A;0;994;450;9,9;185;789;23401;0;0;70;133;447;5;519;0;4;Personal;7,18;2;Diesel;Diesel
Volvo G77;Volvo;SUV;C;0;765;695;9,8;235;1808;37417;0;0;169;338;518;6;661;1;4;Personal;11,47;3;Diesel;Diesel
Mazda W33;Mazda;Pickup;D;0;966;553;9,8;250;2402;53795;0;0;209;373;579;4;0;1;3;Commercial;10,56;5;Essence;Essence
Toyota H4;Toyota;Crossover;C;1,4;900;500;9,3;224;1519;42178;0;0;174;253;497;6;742;1;4;Personal;7,53;4;Hybrid;Hybride Diesel
Peugeot P-Class;Peugeot;Wagon;D;0;986;613;11,1;232;1346;55097;0;0;189;368;820;5;533;1;4;Personal;10,12;4;Diesel;Diesel
Ford I77;Ford;SUV;A;0;723;555;9,5;227;1952;28673;0;0;103;174;563;5;697;0;4;Personal;9,16;2;Diesel;Diesel
Dacia VV-2;Dacia;Wagon;C;0,8;882;479;10,5;196;890;36950;0;0;124;200;385;5;584;1;4;Commercial;8,24;3;Hybrid;Hybride Essence
Lancia K4;Lancia;Pickup;D;1,6;900;485;8,9;250;2500;64555;0;0;240;373;844;5;0;1;4;Sports;8,34;7;Hybrid;Hybride Essence
Nissan XX-77;Nissan;SUV;D;0;997;574;10,1;211;1741;51148;0;0;148;281;631;6;468;1;4;Personal;9,46;4;Diesel;Diesel
Kia Z7 Pro;Kia;Pickup;E;0;1100;533;8,7;250;2500;71396;0;0;232;469;635;5;0;1;4;Personal;8,78;6;Diesel;Diesel
Peugeot A1 Pro;Peugeot;Crossover;B;0;1100;450;9,3;250;1336;35896;0;0;157;245;777;6;575;1;5;Personal;6,38;2;Diesel;Diesel
Mini V6 Pro;Mini;Wagon;C;11,4;900;393;9,1;250;1148;48521;27;0;182;256;596;5;761;1;5;Sports;5,3;5;Hybrid;Hybride Essence
Citroën T55;Citroën;Sedan;D;8;900;467;9,6;231;708;54704;38;0;196;312;558;5;597;1;4;Sports;5,83;6;Hybrid;Hybride Essence
Kia T1x;Kia;Crossover;B;0;630;645;10,1;181;1448;28939;0;0;70;104;300;7;608;0;3;Personal;12,32;1;Essence;Essence
Mercedes-Benz V22;Mercedes-Benz;SUV;D;1,7;900;331;9,5;250;1873;57956;0;0;213;337;303;7;798;1;3;Personal;5,69;3;Hybrid;Hybride Essence
Citroën PP-55;Citroën;MPV;C;14;900;300;10;235;1253;41409;44;0;145;245;683;5;790;1;4;Personal;5;3;Hybrid;Hybride Essence
Koenigsegg 555;Koenigsegg;MPV;B;1,4;900;369;10,2;230;1458;41053;0;0;159;263;581;7;784;1;5;Commercial;6,34;3;Hybrid;Hybride Essence
Saab BB-5;Saab;SUV;D;16;900;328;9,8;245;1738;64865;49;0;194;327;542;7;524;1;4;Personal;5;6;Hybrid;Hybride Essence
Vauxhall LL-1;Vauxhall;MPV;D;0;1100;554;12,5;238;1095;50847;0;0;135;214;564;8;787;1;3;Commercial;9,14;3;Diesel;Diesel
DS Automobiles H99;DS Automobiles;Convertible;E;1,6;900;500;9,7;250;166;71573;0;0;220;289;619;4;318;1;5;Personal;8,91;5;Hybrid;Hybride Essence
Mercedes-Benz BB3;Mercedes-Benz;Crossover;E;1,5;900;451;7,5;250;1294;84277;0;0;258;448;681;5;601;2;4;Personal;6,7;5;Hybrid;Hybride Diesel
Citroën S55;Citroën;Hatchback;B;0;636;697;11,8;202;723;27719;0;0;119;182;428;5;438;0;4;Personal;13,32;2;Essence;Essence
Skoda N6x;Skoda;Hatchback;D;12,1;900;300;8,1;202;760;53857;28;0;168;273;574;5;364;1;4;Personal;5;4;Hybrid;Hybride Essence
Maserati P66;Maserati;Hatchback;F;0;1072;625;7,4;250;423;102474;0;0;290;387;687;5;501;2;3;Commercial;11,95;6;Essence;Essence
Volvo G44;Volvo;Hatchback;B;0;773;613;9,9;212;569;38109;0;0;162;308;537;5;400;1;3;Personal;10,11;6;Diesel;Diesel
Vauxhall R33;Vauxhall;Pickup;C;0;621;700;9,1;244;2336;44052;0;0;189;256;297;5;0;1;3;Personal;14,01;2;Essence;Essence
Kia AA-3;Kia;Sedan;E;16,4;900;457;7,9;250;1000;86091;43;0;286;485;529;5;474;2;5;Personal;5,57;6;Hybrid;Hybride Essence
Volkswagen E6;Volkswagen;Wagon;B;1,4;900;393;10,3;238;1123;32222;0;0;129;171;371;5;728;1;4;Personal;6,76;3;Hybrid;Hybride Essence
Alfa Romeo T2x;Alfa Romeo;Crossover;E;0;902;613;9,5;250;1469;71748;0;0;225;302;727;6;651;1;5;Personal;11,72;7;Essence;Essence
Nissan GG-1;Nissan;Crossover;C;0;931;546;9,2;232;1306;40723;0;0;182;307;493;6;715;1;4;Personal;9,01;3;Diesel;Diesel
Lancia AA-4;Lancia;Sedan;E;0,9;900;500;8,1;250;803;83814;0;0;262;369;488;5;512;2;4;Personal;8,7;5;Hybrid;Hybride Essence
Mercedes-Benz II-7;Mercedes-Benz;Crossover;C;0;602;700;10,5;246;1405;46674;0;0;182;326;481;7;537;1;3;Commercial;13,85;3;Essence;Essence
Seat PP-22;Seat;Crossover;D;0;881;647;9,3;246;1474;54907;0;0;229;349;688;7;525;1;5;Personal;12,36;6;Essence;Essence
Fiat 777;Fiat;Crossover;D;0;698;700;9;243;1463;59245;0;0;206;317;679;5;491;1;5;Sports;13,92;3;Essence;Essence
Renault MM-11;Renault;Sedan;A;0;966;450;11,4;187;1076;26018;0;0;85;129;454;5;444;0;4;Personal;6,44;3;Diesel;Diesel
Hyundai OO-33;Hyundai;Wagon;C;0;901;569;11,2;247;1283;45269;0;0;143;255;532;5;559;1;4;Personal;9,38;4;Diesel;Diesel
Opel UU-66;Opel;Hatchback;E;11,5;900;329;8,2;250;487;69211;25;0;209;279;554;5;471;1;5;Personal;5;6;Hybrid;Hybride Essence
Toyota HH1;Toyota;Crossover;F;0;1100;562;6,3;250;1622;103676;0;0;333;618;867;7;528;2;4;Personal;9,27;9;Diesel;Diesel
Volvo I66;Volvo;SUV;F;0;866;687;6,9;250;1906;102581;0;0;317;567;394;7;809;2;3;Personal;13,12;7;Essence;Essence
Mini BB-2;Mini;Sedan;D;17,2;900;387;10;235;908;56770;47;0;160;234;376;5;501;1;4;Personal;5,31;5;Hybrid;Hybride Essence
Mercedes-Benz H99;Mercedes-Benz;Coupe;D;11;900;300;7,9;250;618;71753;53;0;310;528;927;4;218;2;4;Personal;5;7;Hybrid;Hybride Essence
Mercedes-Benz Q-Class;Mercedes-Benz;Hatchback;C;0;695;667;9,3;229;844;42968;0;0;167;298;692;5;517;1;3;Sports;12,74;3;Essence;Essence
Opel AA-4;Opel;MPV;C;11,3;900;475;9,7;227;1142;42439;58;0;136;243;353;7;836;1;4;Commercial;5,75;3;Hybrid;Hybride Essence
Fiat X-Class;Fiat;Convertible;C;1,5;900;449;7,5;250;0;55042;0;0;252;422;978;3;207;2;5;Personal;7,72;5;Hybrid;Hybride Essence
Opel E9;Opel;SUV;A;0;603;576;10,8;200;1868;20201;0;0;70;122;569;5;730;0;5;Personal;11;1;Essence;Essence
Hyundai P-Class;Hyundai;Sedan;B;0;927;450;9,6;221;802;34539;0;0;148;219;553;5;391;1;4;Personal;8,57;2;Essence;Essence
Peugeot C8;Peugeot;Hatchback;C;0;669;624;8,7;222;732;38408;0;0;149;236;716;5;318;1;4;Sports;11,92;4;Essence;Essence
BMW F33;BMW;MPV;C;0;524;700;10,1;210;1075;39538;0;0;127;206;421;6;635;1;5;Personal;15,25;3;Essence;Essence
Fiat B-Class;Fiat;Crossover;C;0,8;900;421;9,3;241;1617;46597;0;0;157;220;486;5;657;1;3;Commercial;7,23;5;Hybrid;Hybride Essence
Kia P7;Kia;Hatchback;B;0;924;453;9,3;239;609;35817;0;0;187;314;622;5;434;1;4;Personal;7,48;5;Diesel;Diesel
Vauxhall W-Class;Vauxhall;SUV;D;0;1064;522;9,5;247;1775;57229;0;0;240;409;705;6;568;2;4;Personal;8,61;4;Diesel;Diesel
Hyundai ZZ-22;Hyundai;Hatchback;F;0;890;672;6,3;250;667;105928;0;0;315;420;680;5;510;2;5;Commercial;12,83;7;Essence;Essence
Toyota VV-88;Toyota;Crossover;C;0;909;584;11,8;195;1330;37630;0;0;78;137;571;6;668;0;3;Personal;9,64;1;Diesel;Diesel
Suzuki II7;Suzuki;SUV;E;1,7;900;478;8,7;250;1930;75370;0;0;287;486;575;6;700;2;5;Personal;8,22;7;Hybrid;Hybride Essence
Honda 333;Honda;Hatchback;E;0;1100;450;9,5;250;854;71498;0;0;215;402;671;5;308;1;4;Sports;7,39;5;Diesel;Diesel
Peugeot B-Class;Peugeot;Coupe;B;0;537;700;10,4;212;483;29325;0;0;137;220;564;2;342;1;5;Commercial;13,9;4;Essence;Essence
Toyota VV9;Toyota;Sedan;B;0;524;700;11,8;210;809;28177;0;0;86;139;501;5;413;0;5;Personal;13,49;3;Essence;Essence
Kia SS-8;Kia;Crossover;B;1,2;900;432;11;192;1472;33949;0;0;116;152;488;7;630;0;4;Personal;7,42;3;Hybrid;Hybride Essence
Opel W88;Opel;Crossover;B;10,8;900;377;11,3;211;1439;32517;59;0;114;149;456;6;513;0;4;Personal;5,07;2;Hybrid;Hybride Essence
Mazda L99;Mazda;Pickup;C;0;1025;513;9,2;241;2497;51651;0;0;201;320;445;3;0;1;4;Personal;8,47;5;Diesel;Diesel
Maserati 333;Maserati;SUV;C;0,9;900;500;10,2;199;1763;42571;0;0;99;175;680;6;807;0;4;Personal;8,18;3;Hybrid;Hybride Diesel
Volvo UU1;Volvo;MPV;E;11,9;900;484;8,1;250;1091;84992;56;0;305;526;723;5;985;2;5;Commercial;5,85;7;Hybrid;Hybride Essence
BMW NN7;BMW;SUV;C;1,8;900;382;11;235;1936;49975;0;0;184;292;681;7;667;1;4;Personal;6,57;3;Hybrid;Hybride Essence
Subaru K5 Pro;Subaru;Coupe;C;0;1100;457;9,7;220;474;41521;0;0;157;270;455;2;290;1;4;Personal;7,53;4;Diesel;Diesel
Mini Z3 Pro;Mini;Sedan;F;17;900;369;7,1;250;1132;112334;22;0;327;583;586;5;543;2;5;Personal;5;8;Hybrid;Hybride Diesel
Audi QQ-4;Audi;Wagon;F;0;1100;605;6,7;250;1213;116961;0;0;354;543;704;5;853;2;4;Personal;9,98;9;Diesel;Diesel
Skoda PP-2;Skoda;Hatchback;D;0;1100;476;8,5;246;651;58193;0;0;187;291;655;5;517;1;4;Personal;7,86;4;Diesel;Diesel
Volkswagen D33;Volkswagen;Pickup;D;0;1100;489;8,9;245;2466;55884;0;0;187;346;520;5;0;1;4;Sports;8,07;3;Diesel;Diesel
Volkswagen 111;Volkswagen;MPV;F;0;1100;542;7,3;250;1156;111051;0;0;323;508;852;8;964;2;5;Personal;10,34;8;Essence;Essence
DS Automobiles 888;DS Automobiles;SUV;C;13,5;900;385;8,5;249;1787;47924;25;0;239;428;699;5;656;1;4;Personal;5,04;3;Hybrid;Hybride Essence
Volvo B4 Pro;Volvo;SUV;E;0;1100;554;9,1;250;1827;69146;0;0;204;400;644;7;492;1;4;Sports;9,14;5;Diesel;Diesel
Skoda XX9;Skoda;Crossover;A;0;1014;450;10,4;221;1365;29528;0;0;125;254;611;6;500;1;4;Sports;6,08;2;Diesel;Diesel
Citroën Z1x;Citroën;Sedan;C;0;1019;477;10,1;198;777;40966;0;0;139;231;507;5;472;1;4;Personal;9,12;4;Essence;Essence
Cupra 111;Cupra;Crossover;C;0;1100;450;9,5;250;1594;42564;0;0;151;307;509;5;743;1;4;Personal;6,59;5;Diesel;Diesel
Peugeot KK-11;Peugeot;Wagon;A;10,6;887;369;11,6;185;1262;23365;47;0;70;115;203;5;637;0;4;Personal;5;1;Hybrid;Hybride Essence
Suzuki UU-3;Suzuki;SUV;B;0;756;507;11,5;172;1611;27991;0;0;70;109;597;5;654;0;5;Personal;9,68;3;Essence;Essence
Citroën DD5;Citroën;Hatchback;A;0;561;646;10,2;206;763;26068;0;0;104;165;519;5;464;0;3;Personal;12,33;2;Essence;Essence
BMW FF6;BMW;MPV;C;1,7;900;401;10,8;199;1301;44493;0;0;119;209;664;6;904;0;4;Personal;6,9;3;Hybrid;Hybride Essence
Honda 222;Honda;Hatchback;A;0;663;540;9,7;204;730;30266;0;0;146;227;657;5;352;1;4;Personal;8,91;2;Diesel;Diesel
Volkswagen F33;Volkswagen;Crossover;C;0;1099;485;10,9;206;1302;41012;0;0;119;217;568;5;557;0;4;Commercial;8,01;4;Diesel;Diesel
Subaru NN-55;Subaru;Hatchback;D;0;988;554;8,7;250;540;60375;0;0;227;391;647;5;496;1;4;Commercial;9,14;5;Diesel;Diesel
Peugeot HH-9;Peugeot;Hatchback;C;0,9;900;465;10,3;205;694;41714;0;0;147;240;450;5;512;1;4;Personal;6,9;4;Hybrid;Hybride Diesel
Hyundai FF-33;Hyundai;Hatchback;D;0;1100;514;9,6;231;926;57853;0;0;180;332;465;5;428;1;5;Personal;8,49;3;Diesel;Diesel
Kia M5;Kia;SUV;A;1,7;677;476;11,2;177;1735;26938;0;0;78;118;378;6;742;0;4;Personal;8,18;1;Hybrid;Hybride Essence
Suzuki E22;Suzuki;Crossover;D;0;997;624;9;250;1573;62060;0;0;222;421;518;5;592;1;4;Personal;10,29;5;Diesel;Diesel
Volkswagen F7x;Volkswagen;SUV;B;0;686;640;10,6;230;1723;32212;0;0;144;225;513;7;685;1;4;Commercial;12,22;3;Essence;Essence
Mitsubishi WW5;Mitsubishi;Crossover;C;0;930;521;10,1;225;1704;47450;0;0;147;236;682;6;756;1;4;Personal;8,59;4;Diesel;Diesel
DS Automobiles G4x;DS Automobiles;Crossover;C;0;1100;450;9,5;241;1505;46751;0;0;184;342;692;7;681;1;5;Personal;6,08;4;Diesel;Diesel
Peugeot X9;Peugeot;Hatchback;E;0;1031;612;8,1;250;554;77225;0;0;251;329;418;5;470;2;4;Personal;11,7;7;Essence;Essence
Citroën GG-5;Citroën;Hatchback;F;1,4;900;500;6,5;250;602;109645;0;0;292;499;728;5;481;2;5;Commercial;9,23;8;Hybrid;Hybride Essence
Ford K-Class;Ford;Crossover;D;0;1100;450;8,9;247;1392;60364;0;0;220;444;649;5;424;1;4;Personal;6,89;4;Diesel;Diesel
Audi K9;Audi;Crossover;D;0;965;553;8,8;218;1514;54503;0;0;178;238;641;7;711;1;4;Personal;10,56;5;Essence;Essence
Mazda Q9 Pro;Mazda;Crossover;C;1,2;896;500;11;196;1416;38508;0;0;70;100;554;7;627;0;4;Personal;8,77;3;Hybrid;Hybride Essence
Hyundai AA5;Hyundai;Sedan;D;1,5;900;442;8,7;234;841;54617;0;0;199;272;369;5;513;1;4;Commercial;7,59;3;Hybrid;Hybride Essence
Volkswagen AA-33;Volkswagen;Coupe;B;0;595;680;10,9;186;700;27161;0;0;70;118;516;3;370;0;4;Personal;12,99;3;Essence;Essence
Toyota M7;Toyota;Hatchback;B;16;900;300;10,6;190;630;27961;52;0;91;121;681;5;455;0;4;Personal;5;2;Hybrid;Hybride Essence
Toyota W6 Pro;Toyota;Crossover;F;0;966;646;7,6;250;1521;105548;0;0;310;487;494;7;620;2;4;Personal;12,33;8;Essence;Essence
Opel 666;Opel;Hatchback;F;0;1100;469;7,2;250;667;110526;0;0;332;570;588;5;514;2;4;Personal;7,74;8;Diesel;Diesel
Mini WW-8;Mini;Crossover;C;0;992;479;10,7;199;1494;36578;0;0;112;187;278;6;614;0;4;Personal;9,15;2;Essence;Essence
Audi II-33;Audi;SUV;B;0;937;502;10,7;219;1880;32460;0;0;151;281;537;6;662;1;4;Personal;8,28;2;Diesel;Diesel
Skoda O4x;Skoda;Wagon;B;0;787;528;12,5;196;936;27250;0;0;110;174;340;5;543;0;5;Personal;10,08;3;Essence;Essence
Vauxhall U66;Vauxhall;Hatchback;C;13,7;900;366;10,3;229;718;40971;55;0;153;237;439;5;301;1;4;Personal;5,07;3;Hybrid;Hybride Essence
Renault H5x;Renault;Crossover;B;1,7;682;500;10,7;219;1455;36475;0;0;142;239;565;7;551;1;3;Personal;10,77;3;Hybrid;Hybride Essence
Ford P88;Ford;Hatchback;D;13,8;900;408;8,3;250;721;59669;40;0;263;405;706;5;302;2;4;Personal;5;6;Hybrid;Hybride Diesel
BMW LL-33;BMW;Crossover;A;0;972;450;11,7;174;1476;24062;0;0;70;122;309;7;613;0;5;Commercial;6,08;2;Diesel;Diesel
Volvo M33;Volvo;Hatchback;B;1,8;900;429;8,3;245;677;40073;0;0;192;252;510;5;470;1;4;Commercial;7,37;4;Hybrid;Hybride Essence
BMW O2;BMW;Hatchback;B;0;784;572;9,4;187;735;26274;0;0;90;130;476;5;372;0;4;Personal;10,93;4;Essence;Essence
Subaru M9x;Subaru;Wagon;D;0;1043;535;8,6;250;1134;46921;0;0;159;236;530;5;518;1;5;Personal;10,22;3;Essence;Essence
Kia 333;Kia;Hatchback;C;0;937;488;9,7;216;936;43744;0;0;144;263;682;5;494;1;4;Personal;8,05;3;Diesel;Diesel
Vauxhall V6;Vauxhall;Sedan;C;0;799;586;11,5;209;785;33138;0;0;110;179;612;5;544;0;5;Personal;11,18;4;Essence;Essence
Cupra E55;Cupra;Coupe;D;0;1071;539;9,9;231;673;49708;0;0;163;335;704;2;215;1;4;Personal;8,9;5;Diesel;Diesel
Subaru 666;Subaru;Coupe;D;0;862;609;8,5;250;351;55109;0;0;224;322;613;4;361;1;4;Personal;11,64;4;Essence;Essence
Kia G1x;Kia;Coupe;C;0;848;487;10,3;236;468;36047;0;0;151;238;511;2;282;1;4;Commercial;9,3;3;Essence;Essence
Volvo T66;Volvo;SUV;D;0;1100;471;10,6;221;1837;53027;0;0;128;248;516;5;658;1;5;Personal;7,77;5;Diesel;Diesel
Bentley WW7;Bentley;SUV;C;2;900;430;8,4;250;1688;46640;0;0;197;287;641;5;749;1;4;Personal;7,39;4;Hybrid;Hybride Essence
Mazda OO-4;Mazda;Wagon;D;0;1100;527;9;250;1080;58162;0;0;226;409;535;5;593;1;4;Personal;8,69;5;Diesel;Diesel
Jaguar WW-33;Jaguar;Hatchback;C;15,6;900;380;11,2;186;666;41879;48;0;111;167;416;5;342;0;5;Commercial;5;3;Hybrid;Hybride Essence
Peugeot F5x;Peugeot;Wagon;E;0;818;700;9,2;250;1307;73111;0;0;272;469;723;5;872;2;5;Personal;12,94;6;Diesel;Diesel
Volvo B77;Volvo;Hatchback;F;0;1100;481;6,5;250;710;109370;0;0;360;551;806;5;324;2;4;Personal;7,93;6;Diesel;Diesel
Hyundai C6x;Hyundai;MPV;D;0;777;696;11,4;207;1427;49034;0;0;126;165;526;5;753;1;3;Personal;13,29;3;Essence;Essence
Renault U-Class;Renault;Crossover;E;0;1100;501;7,7;250;1568;74531;0;0;276;460;742;5;508;2;4;Commercial;8,26;6;Diesel;Diesel
Renault V9;Renault;SUV;B;0;701;620;12,2;184;1745;31151;0;0;103;208;530;5;516;0;4;Personal;10,22;2;Diesel;Diesel
Cupra DD4;Cupra;SUV;D;0;869;632;8,4;250;1477;62516;0;0;227;364;618;6;783;1;4;Personal;10,42;5;Diesel;Diesel
Fiat ZZ-2;Fiat;Sedan;B;0;817;531;11,6;187;714;29158;0;0;78;103;541;5;479;0;4;Sports;10,15;1;Essence;Essence
Renault VV-9;Renault;SUV;B;0;1027;450;10,1;227;1768;38751;0;0;157;252;450;7;814;1;5;Personal;7,65;4;Essence;Essence
Skoda B5;Skoda;Wagon;C;0;925;566;10,9;213;1012;40417;0;0;150;307;676;5;807;1;5;Personal;9,34;5;Diesel;Diesel
Seat H3 Pro;Seat;Crossover;D;0;1100;462;10,3;243;1477;59410;0;0;180;276;579;5;641;1;4;Personal;7,62;6;Diesel;Diesel
Nissan 222;Nissan;SUV;D;0;1100;450;8,9;225;1827;53522;0;0;176;339;584;6;663;1;5;Personal;6,08;5;Diesel;Diesel
Aston Martin E22;Aston Martin;Sedan;E;0;1100;520;7,3;250;865;76929;0;0;300;467;691;5;415;2;5;Personal;8,58;7;Diesel;Diesel
DS Automobiles C66;DS Automobiles;Wagon;C;1,7;900;461;11,4;222;1167;43593;0;0;141;193;634;5;725;1;4;Personal;7,93;3;Hybrid;Hybride Essence
Mazda R-Class;Mazda;SUV;E;0;1100;450;7,7;250;2035;72413;0;0;292;517;361;7;805;2;4;Personal;8,39;6;Essence;Essence
Honda SS3;Honda;Sedan;E;0;1100;450;8,4;250;908;75447;0;0;274;519;512;5;389;2;4;Commercial;6,08;7;Diesel;Diesel
Opel S7x;Opel;MPV;D;10,4;900;394;9,2;249;1183;57103;42;0;160;252;669;6;922;1;4;Personal;5,02;4;Hybrid;Hybride Essence
Mini Q7 Pro;Mini;SUV;B;0;632;634;10,4;215;1681;30300;0;0;116;160;578;7;605;0;5;Personal;12,11;4;Essence;Essence
Renault A-Class;Renault;SUV;C;0;818;556;9,4;233;1800;44515;0;0;162;294;544;7;613;1;5;Commercial;9,18;2;Diesel;Diesel
Mercedes-Benz 666;Mercedes-Benz;Pickup;D;0;988;540;10,8;222;2443;53456;0;0;133;177;538;5;0;1;4;Commercial;10,31;4;Essence;Essence
Cupra S-Class;Cupra;SUV;F;0;1100;502;7,6;250;2016;103368;0;0;320;480;714;7;704;2;5;Personal;9,59;7;Essence;Essence
Mini N5;Mini;MPV;A;13,5;900;300;11;225;1268;28012;59;0;137;226;718;7;886;1;5;Personal;5;3;Hybrid;Hybride Essence
Opel E-Class;Opel;Wagon;C;0;975;464;8,4;245;1370;47686;0;0;205;374;573;5;568;1;3;Commercial;7,65;5;Diesel;Diesel
Subaru N3;Subaru;Crossover;C;1,8;900;396;9,3;250;1525;47859;0;0;213;349;736;7;662;1;3;Personal;6,8;3;Hybrid;Hybride Essence
Ferrari Q8 Pro;Ferrari;Sedan;C;0;717;678;8,3;250;1050;48267;0;0;256;399;721;5;616;2;5;Personal;11,18;4;Diesel;Diesel
Opel Q4 Pro;Opel;Hatchback;D;0;788;672;7,9;250;580;53594;0;0;190;319;453;5;351;1;3;Personal;12,84;4;Essence;Essence
Citroën RR6;Citroën;SUV;A;0;704;542;10,9;233;1830;26619;0;0;112;199;444;7;459;0;4;Commercial;10,36;3;Essence;Essence
Audi V7x;Audi;Hatchback;C;1,8;900;415;10,8;217;596;47540;0;0;146;256;683;5;356;1;4;Personal;7,13;4;Hybrid;Hybride Essence
Toyota N-Class;Toyota;Hatchback;D;0;791;700;9;250;647;57454;0;0;265;357;779;5;358;2;4;Commercial;13,89;4;Essence;Essence
Alfa Romeo 777;Alfa Romeo;Crossover;C;0;1002;477;10,7;209;1505;38372;0;0;109;148;510;7;581;0;4;Sports;9,12;3;Essence;Essence
Volvo G55;Volvo;Wagon;B;0;682;639;9,6;250;1085;43221;0;0;204;364;754;5;514;1;5;Commercial;10,54;4;Diesel;Diesel
Renault D33;Renault;Hatchback;C;0;715;631;9,3;250;525;44057;0;0;213;333;621;5;426;1;5;Personal;12,05;4;Essence;Essence
Porsche E3x;Porsche;Wagon;C;16,3;900;446;9,7;234;1318;41404;47;0;139;240;525;5;602;1;5;Personal;5,87;4;Hybrid;Hybride Essence
Nissan 333;Nissan;MPV;F;1,1;900;477;5,5;250;998;119672;0;0;386;574;705;5;780;3;4;Commercial;8,2;9;Hybrid;Hybride Essence
Land Rover K2;Land Rover;Wagon;D;0;1100;458;8,8;250;1403;57893;0;0;223;400;467;5;624;1;4;Personal;7,55;5;Diesel;Diesel
Mercedes-Benz K3;Mercedes-Benz;Wagon;F;0;1100;494;7,3;250;1102;101805;0;0;304;425;600;5;863;2;4;Personal;9,44;9;Essence;Essence
Nissan S-Class;Nissan;Wagon;B;0;708;604;10,5;204;1268;31471;0;0;125;254;512;5;692;1;5;Personal;9,95;4;Diesel;Diesel
Vauxhall 888;Vauxhall;Sedan;D;0;1100;450;8,7;237;975;53621;0;0;216;337;750;5;617;1;5;Personal;7,4;4;Diesel;Diesel
Skoda T2 Pro;Skoda;SUV;C;0;899;603;9,7;248;1667;43391;0;0;174;351;635;5;770;1;4;Personal;9,94;4;Diesel;Diesel
Renault 888;Renault;MPV;D;0;984;532;7,7;250;1255;60390;0;0;250;436;571;6;870;2;4;Personal;10,16;6;Essence;Essence
Citroën O55;Citroën;Crossover;C;0;913;536;10,4;233;1521;45876;0;0;183;279;743;6;522;1;3;Personal;8,85;4;Diesel;Diesel
Citroën D3 Pro;Citroën;Wagon;B;0;735;613;9,8;209;1276;30317;0;0;99;193;378;5;837;0;5;Personal;10,12;3;Diesel;Diesel
Alfa Romeo X4 Pro;Alfa Romeo;Pickup;A;0;847;450;10,5;225;2500;30737;0;0;120;176;407;4;0;0;4;Commercial;8,33;3;Essence;Essence
Opel 999;Opel;Sedan;D;0;884;579;10,4;203;998;46957;0;0;120;170;674;5;428;1;4;Personal;11,07;4;Essence;Essence
Citroën B4;Citroën;SUV;D;16,6;900;300;9,1;237;1696;55949;49;0;200;300;647;5;749;1;4;Personal;5;5;Hybrid;Hybride Essence
Mazda O7x;Mazda;Crossover;B;0;618;695;10,3;192;1484;30957;0;0;103;182;322;7;489;0;4;Personal;13,27;2;Essence;Essence
Volkswagen Z3;Volkswagen;Hatchback;D;0,9;900;387;7,6;250;601;59071;0;0;241;362;621;5;416;2;3;Personal;6,66;6;Hybrid;Hybride Essence
Skoda B1;Skoda;Crossover;D;0;954;643;8;250;1431;69187;0;0;276;451;513;5;448;2;4;Sports;10,6;6;Diesel;Diesel
Honda GG3;Honda;Coupe;C;0;728;636;9,8;231;559;42060;0;0;154;240;491;2;302;1;4;Personal;12,16;5;Essence;Essence
Audi L4 Pro;Audi;Crossover;C;1,5;900;377;10,1;231;1573;43081;0;0;156;234;598;7;470;1;4;Personal;5,6;2;Hybrid;Hybride Diesel
Renault N4 Pro;Renault;Sedan;E;0;707;700;7,8;245;970;71055;0;0;222;291;579;5;585;1;5;Personal;15,15;6;Essence;Essence
Renault 666;Renault;Wagon;D;0;906;612;9,8;250;1235;56457;0;0;223;311;576;5;619;1;5;Personal;11,69;6;Essence;Essence
Volkswagen L3;Volkswagen;Hatchback;D;1,2;900;425;9;250;753;58679;0;0;207;271;476;5;518;1;4;Commercial;7,31;7;Hybrid;Hybride Essence
Lamborghini H-Class;Lamborghini;MPV;D;0;944;607;7,8;237;1145;53614;0;0;170;265;690;7;615;1;3;Personal;11,59;4;Essence;Essence
Volkswagen SS-1;Volkswagen;Hatchback;D;15;900;434;8,4;250;862;60598;21;0;253;410;661;5;466;2;3;Personal;5,74;5;Hybrid;Hybride Essence
Citroën SS3;Citroën;Convertible;B;0,9;900;414;9,1;231;80;38979;0;0;187;310;465;4;190;1;3;Commercial;7,12;3;Hybrid;Hybride Essence
DS Automobiles U3x;DS Automobiles;SUV;E;1,9;900;500;7,9;250;1797;71934;0;0;237;332;607;6;658;1;5;Personal;9,25;7;Hybrid;Hybride Essence
Rolls-Royce B8;Rolls-Royce;SUV;C;1,1;900;388;11,4;189;1935;38836;0;0;110;188;479;7;805;0;5;Personal;6,68;2;Hybrid;Hybride Essence
Renault S7x;Renault;SUV;D;1,7;900;398;9,5;250;1738;55931;0;0;211;318;511;5;532;1;5;Personal;6,84;4;Hybrid;Hybride Essence
Opel P77;Opel;Sedan;E;0;1002;617;9;250;914;68778;0;0;219;334;649;5;398;1;4;Commercial;10,18;4;Diesel;Diesel
Lancia HH-3;Lancia;SUV;D;0;731;695;10,2;233;1907;52759;0;0;139;245;734;6;673;1;3;Commercial;13,28;2;Essence;Essence
